Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chad,TCD,5.344663278,5.314723634,5.28478399,5.254844346,5.224904701,5.194965057,5.165025413,5.135085769,5.105146125,5.07520648,5.045266836,4.979907878,4.91454892,4.849189962,4.783831004,4.718472046,4.653113088,4.58775413,4.522395172,4.457036213,4.391677255,4.290025413,4.188373571,4.086721728,3.985069886,3.883418043,3.787325286,3.693614994,3.601493011,3.511753494,3.425190597,3.336509927
Channel Islands,CHI,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.287878788,4.383838384,4.47979798,4.575757576,4.671717172,4.767676768,4.863636364,4.95959596,5.055555556,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152
Chile,CHL,20.50490093,20.5816979,20.65849486,20.73529182,20.81208879,20.88888575,20.96568271,21.04247968,21.11927664,21.19607361,21.27287057,21.3950173,21.51716402,21.63931075,21.76145748,21.8836042,22.00575093,22.12789766,22.25004438,22.37219111,22.49433784,22.72857658,22.96281532,23.19705406,23.4312928,23.66553154,23.83086404,23.99619653,24.16152903,24.32686152,24.49215367,24.65747271
China,CHN,16.73800655,16.94954715,17.16108774,17.37262834,17.58416893,17.79572849,18.00728849,18.21882953,18.43037058,18.64191163,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63152827
Colombia,COL,58.54721947,58.34689139,58.14656332,57.94623524,57.74590717,57.54557909,57.34525101,57.14492294,56.94459486,56.74426679,56.54393871,56.37019288,56.19644705,56.02270122,55.84895539,55.67520955,55.50146372,55.32771789,55.15397206,54.98022623,54.8064804,54.68514105,54.56380171,54.44246237,54.32112303,54.19978369,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127,53.12539585
Comoros,COM,24.75013434,24.514777,24.27941967,24.04406233,23.808705,23.57334766,23.33799033,23.10263299,22.86727566,22.63191832,22.39656099,22.16120365,21.92584632,21.69048898,21.45513165,21.21977431,20.98441698,20.74905965,20.51370231,20.27834498,20.04298764,19.80763031,19.57227297,19.33691564,19.1015583,18.86620097,18.62976894,18.39333692,18.16227834,17.92584632,17.68941429,17.45298227
"Congo, Dem. Rep.",COD,66.44273395,66.14587239,65.84901083,65.55214927,65.25528771,64.95842615,64.66156459,64.36470303,64.06784147,63.77097991,63.47411835,63.17725679,62.88039523,62.58353367,62.28667211,61.98981055,61.69294899,61.39608743,61.09922587,60.80236431,60.50550275,60.01968373,59.53386471,59.0480457,58.56222668,58.07640767,57.59058689,57.10477052,56.61894974,56.13312896,55.64731259,55.16149326
"Congo, Rep.",COG,65.34407028,65.30893119,65.27379209,65.238653,65.20351391,65.16837482,65.13323572,65.09809663,65.06295754,65.02781845,64.99267936,64.95754026,64.92240117,64.88726208,64.85212299,64.81698389,64.7818448,64.74670571,64.71156662,64.67642753,64.64128843,64.60614934,64.57101025,64.53587116,64.50073206,64.46559297,64.43045388,64.39531479,64.35139092,64.30746706,64.26354319,64.21961933
Costa Rica,CRI,56.9408539,56.84257736,56.74430082,56.64602429,56.54774775,56.44947121,56.35119467,56.25291814,56.1546416,56.05636506,55.95808852,55.98546808,56.01284763,56.04022718,56.06760674,56.09498629,56.12236584,56.1497454,56.17712495,56.2045045,56.23188406,56.55240893,56.8729338,57.19345868,57.51398355,57.83450842,58.15511163,58.47571485,58.79612221,59.11672542,59.43732863,59.75793184
Cote d'Ivoire,CIV,24.68823899,23.8214434,22.9546478,22.0878522,21.2210566,20.35426101,19.48746541,18.62066981,17.75387421,16.88707862,16.02028302,15.66529245,15.31030189,14.95531132,14.60032075,14.24533019,13.89033962,13.53534906,13.18035849,12.82536792,12.47037736,12.11538994,11.76040252,11.40541509,11.05042767,10.69544025,10.34044025,9.985440252,9.630440252,9.275471698,8.920471698,8.565492767
